university,city,state,international_students_natlib,international_students_opendoors,international_students_qs,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,type3_natlib,size_qs,type1_qs,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,selectivity,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
University of North Texas,Denton,TX,0.05,NA,2420,NA,301-400,301,96-117,4.6,19.2,0,0,27.8,19,287,24234,32694,National,XL,1,NA,1001-1200,High,1395,23,NA,1,4-year,40953,15,15,1,4,12
Tufts University,Medford,MA,0.11,NA,1798,NA,151-200,151,59-69,12.5,16.6,18.3,16.1,35.6,25.1,29,63000,6114,National,M,4,36.5,275,Very High,1459,8,1,NA,NA,NA,15,17,2,5,21
The University of Texas at Arlington,Arlington,TX,NA,NA,4106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,1,NA,1001-1200,Very High,1481,22,NA,1,4-year,48072,15,16,1,4,11
Brigham Young University--Provo,Provo,UT,0.05,NA,1163,NA,401-500,401,118-139,8.3,9.6,8.8,0,27.5,13.4,80,6120,33365,National,XL,4,NA,1001-1200,Very High,1512,21,NA,2,4-year,36461,16,15,2,3,12
Carnegie Mellon University,Pittsburgh,PA,0.22,7396,5739,26.8,91,91,43,12.3,21.4,31.3,31.2,35.6,30.1,25,58924,7073,National,L,4,74.6,53,Very High,1534,9,1,NA,NA,NA,15,17,2,5,11
University of Notre Dame,Notre Dame,IN,0.06,NA,1484,NA,201-300,201,70-95,14.5,16.6,12.4,0,32.8,20.8,19,58843,8874,National,L,4,40.9,222,Very High,1545,8,1,NA,NA,NA,15,17,2,5,21
"University of California, Santa Barbara",Santa Barbara,CA,0.11,NA,4309,33.4,46,46,29,28.7,30.3,14.4,38.6,40.1,37.5,NA,NA,NA,National,L,1,51.2,146,Very High,1597,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia University,Morgantown,WV,NA,NA,1807,NA,401-500,401,118-139,8,9.6,0,0,31.5,11.9,262,25320,21086,NA,L,1,NA,801-1000,Very High,1605,15,NA,NA,NA,NA,15,16,1,4,13
Case Western Reserve University,Cleveland,OH,0.13,NA,2864,NA,101-150,101,47-58,15.8,19.2,32.5,10.7,40.5,24.7,44,54020,5433,National,M,4,48.2,161,Very High,1639,7,1,NA,NA,NA,15,17,2,6,11
"The University of Tennessee, Knoxville",Knoxville,TN,NA,NA,1156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,1,NA,541-550,High,1700,17,NA,1,4-year,30559,NA,NA,NA,NA,NA
University of Massachusetts Amherst,Amherst,MA,0.07,NA,3696,NA,151-200,151,59-69,15.7,25.3,13.4,0,38.5,23.2,72,36964,24233,National,L,1,38.8,246,Very High,1852,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Rochester,Rochester,NY,0.25,NA,3644,NA,151-200,151,59-69,17.5,13.5,27.8,7.6,39.9,17.9,35,59344,6521,National,M,4,50.3,154,Very High,1853,5,1,NA,NA,NA,15,15,2,5,12
North Carolina State University,Raleigh,NC,NA,5008,3156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,29916,26150,NA,L,1,34.7,300,Very High,1944,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgetown University,Washington,DC,0.14,NA,3286,NA,201-300,201,70-95,6,27.1,0,0,33,23.8,23,59957,7357,National,L,4,38.7,248,Very High,2009,8,1,NA,NA,NA,15,17,2,6,11
University of Miami,Coral Gables,FL,0.11,NA,2646,NA,201-300,201,70-95,13.6,16.6,0,0,42,20.7,58,54760,11334,National,L,4,33.7,311,Very High,2565,6,1,NA,NA,NA,15,16,2,5,13
Purdue University,West Lafayette,IN,0.11,10500,8034,27.9,70,70,34,23.1,19.2,13.4,22.8,53.2,23.7,53,28794,34920,National,XL,1,56.9,116,Very High,2622,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston University,Boston,MA,0.22,10646,8159,27.9,70,70,34,24.3,30.3,11.4,11.4,53.1,23.8,42,59816,16872,National,L,4,57,112,Very High,2642,10,2,2,4-year,32718,15,17,2,5,11
University of Chicago,Chicago,IL,0.16,NA,4696,55.5,10,10,8,42.5,35.8,59.2,90.1,52,44.2,7,60963,6989,National,L,4,94.5,10,Very High,2703,6,1,NA,NA,NA,15,17,2,6,11
Emory University,Atlanta,GA,0.17,NA,2264,NA,101-150,101,47-58,25.3,19.2,0,0,54.8,21.8,21,55468,7010,National,L,4,48.6,160,Very High,2725,5,1,NA,NA,NA,15,17,2,5,11
University of Virginia,Charlottesville,NA,NA,NA,2201,NA,151-200,151,59-69,24.6,19.2,0,0,46.1,19.1,26,53666,17311,NA,L,1,40.3,226,Very High,2731,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Illinois at Urbana-Champaign,Champaign,IL,0.13,12838,9987,35.4,41,41,28,31.8,19.2,29.6,35.8,57.8,28,NA,NA,NA,National,XL,1,65.2,82,Very High,2748,17,2,NA,NA,NA,15,16,1,5,13
University of California - Irvine,Irvine,CA,0.15,7766,9323,27.2,83,83,40,22.7,21.4,0,28.9,47.6,24.8,NA,NA,NA,National,XL,1,40,232,Very High,2775,13,NA,1,4-year,36303,NA,NA,NA,NA,NA
University of Washington,Seattle,WA,0.14,8777,7362,50,14,14,12,49.1,54.2,24.9,37.4,75.9,31.4,62,39906,35582,National,XL,1,65,85,Very High,2796,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Illinois at Chicago ,Chicago,IL,0.07,4926,3425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,31787,21921,National,L,1,35.6,285,Very High,2808,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cornell University,Ithaca,NY,0.1,6692,5675,50.7,12,12,10,47.3,46.9,43.1,49.1,61.6,43.4,17,61015,14743,National,L,4,88.3,21,Very High,2843,8,1,NA,NA,NA,15,16,2,5,13
Arizona State University,Tempe,AZ,0.06,13015,8430,NA,101-150,101,47-58,21.9,16.6,0,19.7,47.1,22.9,117,29438,63124,National,XL,1,41.8,216,Very High,2869,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Texas - Austin,Austin,TX,NA,5473,4953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40032,40048,NA,XL,1,68.4,67,Very High,2887,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Colorado Boulder,Boulder,CO,NA,NA,2441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,38312,30300,NA,XL,1,38.5,251,Very High,2946,11,NA,1,4-year,37437,15,16,1,4,12
Michigan State University,East Lansing,MI,0.06,5280,5795,NA,101-150,101,47-58,22,21.4,8.8,0,54.8,19.3,88,39766,38491,National,XL,1,49.7,157,Very High,3008,15,NA,1,4-year,49695,15,16,1,4,13
Texas A&M University,College Station,TX,NA,6511,6621,NA,151-200,151,59-69,16.6,21.4,0,0,55.1,18.7,71,40087,55568,NA,XL,1,47.6,168,Very High,3049,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts Institute of Technology,Cambridge,MA,0.1,NA,3730,69.9,4,4,3,71.4,52.5,70.9,83.6,64.4,70.3,4,55878,4361,National,M,4,100,1,Very High,3065,4,1,NA,NA,NA,15,17,2,6,12
University of Southern California,Los Angeles,CA,0.12,14992,9107,30.8,60,60,33,20.4,31.8,0,31.3,55.1,24.6,27,60275,19606,National,XL,4,57,112,Very High,3116,10,1,2,4-year,46287,15,16,2,6,11
Washington University in St. Louis,St. Louis,MO,0.07,NA,3535,42.1,20,20,16,42.3,55,22.7,24.6,53.8,38.6,16,58866,7653,National,L,4,58,107,Very High,3193,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of California - Davis,Davis,CA,0.16,7422,8414,25.9,96,96,45,30.5,25.3,0,0,59.3,23.6,NA,NA,NA,National,XL,1,57.9,108,Very High,3420,10,NA,1,4-year,39074,NA,NA,NA,NA,NA
Northwestern University,Evanston,IL,0.1,NA,3846,39.9,25,25,18,33.3,48.8,15.2,27.6,62.2,31.7,12,60984,8194,National,L,4,82.8,30,Very High,3652,5,1,NA,NA,NA,15,16,2,6,13
University of California - Berkeley,Berkeley,CA,0.13,9184,9428,68.3,5,5,4,67.8,61.3,65.6,78.4,65.1,58.2,NA,NA,NA,National,XL,1,82.5,32,Very High,3701,11,NA,1,4-year,42327,NA,NA,NA,NA,NA
University of Maryland - College Park,College Park,MD,NA,5662,4659,32.3,51,51,32,33.5,25.3,19,19.7,55.3,29.3,NA,NA,NA,NA,XL,1,49.5,158,Very High,3798,10,NA,1,4-year,40709,NA,NA,NA,NA,NA
Indiana University - Bloomington,Bloomington,IN,0.05,5175,3722,NA,101-150,101,47-58,18.6,13.5,10.2,21.3,40.3,19.4,69,38354,32986,National,XL,1,33.7,311,Very High,3837,11,4,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania State University - University Park,University Park,PA,NA,8267,6943,27.7,74,74,37,28.7,34.5,10.2,0,55.1,24.6,NA,NA,NA,NA,XL,1,61.5,96,Very High,4207,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanderbilt University,Nashville,TN,0.1,NA,2022,32.8,50,50,31,23,30.3,15.2,28.6,53.4,35.3,15,56966,7057,National,L,4,41.7,218,Very High,4473,3,1,NA,NA,NA,15,17,2,5,11
University of California - Los Angeles,Los Angeles,CA,0.1,10273,6140,51.2,11,11,9,44.9,55.9,29.2,46.4,73.1,32.1,NA,NA,NA,National,XL,1,79.7,40,Very High,4487,10,NA,1,4-year,44589,NA,NA,NA,NA,NA
University of California - San Diego,La Jolla,CA,0.16,10824,8567,47.8,15,15,13,53,53.3,19,35.1,65.4,35.9,NA,NA,NA,National,XL,1,76.1,48,Very High,4545,8,NA,1,4-year,39576,NA,NA,NA,NA,NA
Harvard University,Cambridge,MA,0.12,5562,5877,100,1,1,1,100,100,100,100,100,79.6,3,55587,5222,National,L,4,98,5,Very High,4646,5,1,2,4-year,30391,15,17,2,6,12
University of North Carolina at Chapel Hill,Chapel Hill,NC,0.05,NA,2749,37.9,30,30,22,30.2,45.9,8.8,23.4,64.7,34.4,NA,NA,NA,National,XL,1,59.6,100,Very High,4646,7,1,1,4-year,30092,15,17,1,5,13
Stanford University,Stanford,CA,0.11,NA,3879,75.6,2,2,2,78.6,76.6,44.5,88.5,76.5,56,6,56169,6366,National,L,4,98.7,3,Very High,4725,3,1,NA,NA,NA,15,17,2,6,21
University of Pittsburgh,Pittsburgh,NA,NA,NA,2590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,1,48.1,163,Very High,4746,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johns Hopkins University,Baltimore,MD,0.14,6723,5070,45.4,18,18,15,43.4,37.1,37.3,33.2,75.7,28.7,11,58720,6331,National,L,4,85.9,25,Very High,4855,3,1,2,4-year,28890,15,16,2,6,11
Rutgers University - New Brunswick,New Brunswick,NJ,NA,6554,7965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,1,37.2,264,Very High,5009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Minnesota - Twin Cities,Minneapolis,MN,0.06,6396,5630,35.9,37,37,25,31.2,34.5,29.2,16.1,67.5,23.7,NA,NA,NA,National,XL,1,45.7,186,Very High,5087,11,NA,1,4-year,52017,NA,NA,NA,NA,NA
University of Pennsylvania,Philadelphia,PA,0.13,6562,4636,46.4,16,16,14,41.7,46.9,31.3,33.4,69.7,39.7,8,61710,9872,National,L,4,90.7,13,Very High,5154,4,1,NA,NA,NA,15,17,2,6,11
University of Wisconsin - Madison,Madison,WI,0.1,7139,5737,38.9,28,28,21,32.3,30.3,32.5,34.3,65,24.3,46,38608,33585,National,XL,1,66.2,75,Very High,5166,8,2,NA,NA,NA,15,16,1,5,11
Yale University,New Haven,CT,0.1,NA,2537,50.7,12,12,10,53.4,44.9,47.1,49.7,58.7,35.7,5,59950,4703,National,M,4,90.2,14,Very High,5391,2,1,NA,NA,NA,15,17,2,6,12
Duke University,Durham,NC,0.09,NA,3445,39.7,26,26,19,35.6,55.9,15.2,19,63.9,25.5,10,60489,6717,National,L,4,75.2,52,Very High,5673,3,1,NA,NA,NA,15,17,2,6,11
The University of Arizona,Tucson,NA,NA,NA,3526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XL,1,36.9,268,Very High,5724,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Florida,Gainesville,FL,NA,5919,4143,27,86,86,41,18.9,28.7,16.8,0,63.6,24.8,31,28658,34931,NA,XL,1,46.9,173,Very High,6222,7,3,1,4-year,53372,15,16,1,5,12
The Ohio State University,Columbus,OH,0.07,NA,7029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,XL,1,56,120,Very High,6388,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Columbia University,New York,NY,NA,15015,11252,58.2,8,8,6,56.4,41.8,62.8,67.2,71.5,33.7,2,63530,6170,NA,L,4,88.7,19,Very High,7087,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Michigan - Ann Arbor,Ann Arbor,MI,0.08,8252,7341,39.4,27,27,20,41,41.8,34.1,0,80.8,25,24,53232,31329,National,XL,1,86.2,23,Very High,7132,6,2,NA,NA,NA,15,16,1,5,12
New York University,New York,NY,0.24,17050,16218,37.2,32,32,24,39.5,25.3,29.6,31.5,60.6,20.8,28,56500,27444,National,XL,4,78.9,42,Very High,7874,6,1,2,4-year,52775,15,16,2,5,11
Abilene Christian University,Abilene,TX,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,4,12
Academy of Art University,San Francisco,CA,NA,2747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,3,5,11
Alvernia University,Reading,PA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,2,4,13
American Film Institute Conservatory,Los Angeles,CA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,18,2,7,11
Amherst College,Amherst,MA,0.1,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,21
Andrews University,Berrien Springs,MI,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,31008,1708,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,2,5,31
Aquinas College,Grand Rapids,MI,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,3,12
Arkansas State University,State University,AR,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301,16070,8486,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,1,4,13
ArtCenter College of Design,Pasadena,CA,NA,1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Augustana College,Rock Island,IL,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,11,2,3,13
Babson College,Wellesley,MA,NA,1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,29,11,2,4,21
Bard College,Annandale on Hudson,NY,0.12,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,4,31
Barnard College,New York,NY,0.13,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,11
Bates College,Lewiston,ME,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,13
Baylor College of Medicine,Houston,TX,NA,247,NA,NA,101-150,101,47-58,30.1,23.5,0,0,44.5,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,18,2,7,11
Bellevue College,Bellevue,WA,NA,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,12,1,2,12
Beloit College,Beloit,WI,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,8,2,2,13
Bennington College,Bennington,VT,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,21,8,2,4,32
Bentley University,Waltham,MA,NA,968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,2,4,13
Berea College,Berea,KY,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,21,11,2,2,32
Bergen Community College,Paramus,NJ,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,21
Berkeley College - New York,New York,NY,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berklee College of Music,Boston,MA,NA,1685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,2,4,11
Bethany Lutheran College,Mankato,MN,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,2,2,13
Biola University,La Mirada,CA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,44382,3682,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,2,5,21
Boston Architectural College,Boston,MA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,6,2,6,11
Bowdoin College,Brunswick,ME,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,31
Briar Cliff University,Sioux City,IA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,8,2,4,13
Brigham Young University - Hawaii,"Laie, Oahu",HI,NA,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brigham Young University - Idaho,Rexburg,ID,NA,1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Broward College,Fort Lauderdale,FL,NA,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4-year,33243,14,15,1,2,12
Bryn Mawr College,Bryn Mawr,PA,0.15,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,4,21
Bucknell University,Lewisburg,PA,0.05,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,14,2,3,32
Bunker Hill Community College,Boston,MA,NA,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,11
California College of the Arts,San Francisco,CA,NA,701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,11,2,4,11
California Institute of the Arts,Valencia,CA,NA,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,11,2,5,21
California State Polytechnic University - Pomona,Pomona,CA,NA,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - East Bay,Hayward,CA,NA,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Fullerton,Fullerton,CA,NA,2232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Los Angeles,Los Angeles,CA,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Northridge,Northridge,CA,NA,1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Sacramento,Sacramento,CA,NA,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Long Beach,Long Beach,CA,0.06,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - San Bernardino,San Bernardino,CA,0.05,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardinal Stritch University,Milwaukee,WI,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,34762,1068,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,7,2,5,21
Carleton College,Northfield,MN,0.1,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,32
Carson-Newman University,Jefferson City,TN,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,31320,1722,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,2,4,23
Central Baptist Theological Seminary,Shawnee,KS,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Piedmont Community College,Charlotte,NC,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,11
Citrus College,Glendora,CA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,21
City College of San Francisco,San Francisco,CA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,1,11
Claremont McKenna College,Claremont,CA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,3,21
Clarke University,Dubuque,IA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,36870,659,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,8,2,4,13
Colby College,Waterville,ME,0.09,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,33
Colgate University,Hamilton,NY,0.09,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,14,2,3,32
College of Wooster,Wooster,OH,0.15,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
Collin County Community College District,McKinney,TX,NA,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4-year,35390,14,15,1,2,22
Colorado College,Colorado Springs,CO,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,21,11,2,3,11
Concordia College at Moorhead,Moorhead,MN,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,2,3,22
Connecticut College,New London,CT,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,21,11,2,2,13
CUNY Baruch College,New York,NY,NA,1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
