,College Name,Tuition,Enrollment Numbers
170,University of Rhode Island,33354,14073
171,Adelphi University,42475,5124
172,Chatham University,40877,1358
173,Louisiana State University--Baton Rouge,28005,27825
174,St. John's University (NY),46050,15693
175,University at Albany--SUNY,28150,13182
176,Valparaiso University,44796,2723
177,Virginia Commonwealth University,35676,21943
178,Missouri University of Science and Technology,31286,6086
179,Montclair State University,21417,16374
180,Ohio University,22810,18913
181,Rowan University,23409,15963
182,University of Houston,27110,39165
183,University of Idaho,27576,8366
184,University of Massachusetts--Lowell,33624,13815
185,Washington State University,27733,25470
186,Oklahoma State University,24539,20307
187,Pacific University,50070,1758
188,Robert Morris University,32770,3312
189,St. John Fisher College,36352,2692
190,Union University,35660,2096
191,University of Detroit Mercy,30154,2633
192,University of Louisville,28508,15927
193,University of North Carolina--Wilmington,21303,14650
194,University of Saint Joseph,42934,898
195,Biola University,44382,3682
196,Indiana University-Purdue University--Indianapolis,32101,20966
197,Mississippi State University,24900,18803
198,Towson University,22532,18730
199,University of New Mexico,24924,16124
200,University of Wyoming,20647,9342
201,Ball State University,27406,15780
202,Bellarmine University,44520,2484
203,Bethel University (MN),40080,2710
204,Florida A&M University,17725,7402
205,Florida Institute of Technology,43246,3475
206,Hampton University,29287,3063
207,Illinois State University,26281,17987
208,Loyola University New Orleans,43498,3219
209,Maryville University of St. Louis,27166,5504
210,Misericordia University,35940,1845
211,Sacred Heart University,45230,6417
212,California State University--Fresno,12789,22611
213,East Carolina University,23593,23056
214,George Fox University,38520,2481
215,Kent State University,20800,21621
216,Lipscomb University,35752,2997
217,Nova Southeastern University,34570,6314
218,Pace University,48830,7994
219,Texas Tech University,24092,33269
220,Touro College,20750,5520
221,University of Hartford,44885,4521
222,University of Maine,33586,9465
223,Western New England University,40380,2552
224,Widener University,49706,2912
225,Wilkes University,39914,2243
226,Gannon University,34526,3208
227,Immaculata University,27750,1614
228,New Mexico State University,25666,11575
229,Regis University,39610,3197
230,Russell Sage College,33894,1287
231,Seattle Pacific University,35646,2702
232,St. Catherine University,46494,2983
233,University of Colorado Denver,32820,14995
234,University of Massachusetts--Boston,35139,12871
235,University of Massachusetts--Dartmouth,30153,6027
236,University of Nevada--Reno,24680,16852
237,University of North Carolina--Charlotte,20542,24175
238,Central Michigan University,13538,13048
239,Clarke University,36870,659
240,The College of St. Scholastica,39410,2244
241,Edgewood College,31700,1407
242,Georgia State University,30114,28772
243,Oklahoma City University,32744,1526
244,UNC Greensboro,22564,15995
245,University of Indianapolis,33520,4168
246,University of Missouri--St. Louis,30570,10977
247,University of South Dakota,12942,7103
248,Bowling Green State University,19000,14988
249,Harding University,22470,3574
250,Lesley University,29450,2128
251,Lincoln Memorial University,24210,1817
252,Sam Houston State University,23274,18790
253,University of Memphis,16764,17383
254,University of Missouri--Kansas City,28026,11036
255,University of Nevada--Las Vegas,25977,25862
256,University of New England,39820,4065
257,University of North Dakota,15067,9796
258,University of St. Francis,35000,1627
259,Utah State University,23434,24647
260,Wayne State University,32727,17513
261,West Virginia University,25320,21086
262,Azusa Pacific University,41410,4498
263,Baker University,31600,1149
264,Delaware State University,17294,4131
265,Inter American University of Puerto Rico--San German,6012,3143
266,Montana State University,26950,14240
267,Old Dominion University,31680,19622
268,Shenandoah University,34490,2267
269,Southern Illinois University--Carbondale,15240,8299
270,University of Alabama--Huntsville,23734,8027
271,University of Findlay,36720,3732
272,University of Nebraska--Omaha,21718,12768
273,University of North Florida,20793,14550
274,University of the Incarnate Word,33100,5081
275,Western Michigan University,17591,16554
276,Campbell University,38160,3720
277,Concordia University Wisconsin,31952,3095
278,Florida Atlantic University,21655,25562
279,Gardner-Webb University,31960,1999
280,Louisiana Tech University,19548,10013
281,North Carolina Agricultural and Technical State University,20243,11130
282,North Dakota State University,14471,10555
283,Regent University,18820,4539
284,Tennessee Techn University,16027,8778
285,University of Montana,28252,6975
286,University of North Texas,24234,32694
287,Dallas Baptist University,33620,2874
288,East Tennessee State University,27406,10705
289,Long Island University,39920,10403
290,Marshall University,19606,8771
291,Middle Tennessee State University,29584,19188
292,Northern Arizona University,26642,25230
293,Portland State University,23769,18959
294,South Dakota State University,12809,9976
295,University of Hawaii at Hilo,20798,2671
296,University of Puerto Rico--Rio Piedras,4198,11254
297,University of Texas at Arlington,29299,35064
298,Alliant International University,17190,249
299,Andrews University,31008,1708
300,Arkansas State University,16070,8486
301,Augusta University,24210,5675
302,Aurora University,25600,4104
303,Barry University,30014,3523
304,Benedictine University,34290,2299
305,Boise State University,24988,20788
306,Cardinal Stritch University,34762,1068
307,Carson-Newman University,31320,1722
308,Clark Atlanta University,24430,3096
309,Cleveland State University,16480,11245
310,Colorado Technical University,12573,23430
311,Daemen College,31250,1638
312,D'Youville College,29998,1475
313,Eastern Michigan University,14090,13572
314,Ferris State University,13290,9929
315,Georgia Southern University,21396,23469
316,Grand Canyon University,17800,58997
317,Husson University,20430,2677
318,Idaho State University,24494,10353
319,Indiana State University,20570,8939
320,Indiana University of Pennsylvania,17464,8010
321,Inter American University of Puerto Rico--Metropolitan Campus,7584,5508
322,Jackson State University,9445,4668
323,Keiser University,34968,17490
324,Kennesaw State University,21616,37390
325,Lamar University,22826,8555
326,Liberty University,24910,47988
327,Lindenwood University,18640,4822
328,Mary Baldwin University,31085,1477
329,Metropolitan State University,15673,6770
330,Mississippi College,20302,2757
331,Missouri State University,16608,19801
332,Morgan State University,18480,6270
333,National Louis University,11325,3604
334,Northern Illinois University,12478,12277
335,Northern Kentucky University,20448,11507
336,Oakland University,24708,15100
337,Our Lady of the Lake University,29926,1294
338,Palm Beach Atlantic University,34136,2916
339,Pontifical Catholic University of Puerto Rico--Ponce,5510,5346
340,Roosevelt University,31493,2997
341,Southern Illinois University Edwardsville,12300,9942
342,Spalding University,25975,925
343,Stephen F. Austin State University,21616,11494
344,Tennessee State University,21910,6000
345,Texas A&M University--Commerce,22266,8062
346,Texas A&M University--Corpus Christi,23367,8483
347,Texas A&M University--Kingsville,23106,5674
348,Texas Southern University,21443,5298
349,Texas State University,24091,33193
350,Texas Wesleyan University,33408,1480
351,Texas Woman's University,22474,10656
352,Trevecca Nazarene University,26898,2095
353,Trinity International University,33298,722
354,Union Institute and University,15686,604
355,Universidad Ana G. Mendez--Gurabo Campus,5820,12508
356,University of Akron,15410,13651
357,University of Alaska--Fairbanks,-1,6206
358,University of Arkansas at Little Rock,18957,7006
359,University of Bridgeport,-1,3233
360,University of Central Arkansas,16433,8615
361,University of Charleston,31400,2115
362,University of Colorado--Colorado Springs,25600,10119
363,University of Louisiana at Lafayette,24110,14020
364,University of Louisiana--Monroe,21651,6859
365,University of Mary,20628,2540
366,University of Maryland Eastern Shore,18968,2070
367,University of Michigan--Flint,24622,5424
368,University of New Orleans,16762,6895
369,University of Northern Colorado,22496,8494
370,University of Phoenix,9552,72485
371,University of South Alabama,20840,9050
372,University of Southern Mississippi,11160,11451
373,University of Tennessee--Chattanooga,25966,10341
374,University of Texas at San Antonio,25920,29959
375,University of Texas at Tyler,25016,7237
376,University of Texas--El Paso,24952,21117
377,University of Texas--Rio Grande Valley,18733,26762
378,University of the Cumberlands,9875,3874
379,University of Toledo,20818,14406
380,University of West Georgia,21432,10331
381,University of Wisconsin--Milwaukee,21119,20213
382,Valdosta State University,17638,9570
383,Washburn University,19876,5064
384,Western Kentucky University,26496,15286
385,Wichita State University,18166,12406
386,William Carey University,14100,3264
387,William Woods University,25930,873
388,Wilmington University,11750,9230
389,Wingate University,40170,2683
390,Wright State University,19097,8332
391,Brandman University,15480,6114
